party_reset = .text:0x00000000; // type:function size:0x4C
dat_moo_00004080 = .rodata:0x00000F90; // type:object size:0x14
str_00000FA4 = .rodata:0x00000FA4; // type:object size:0x18 scope:local data:string
str_00000FBC = .rodata:0x00000FBC; // type:object size:0x18 scope:local data:string
str_00000FD4 = .rodata:0x00000FD4; // type:object size:0x18 scope:local data:string
str_00000FEC = .rodata:0x00000FEC; // type:object size:0x4 scope:local data:string
zero_moo_000040e0 = .rodata:0x00000FF0; // type:object size:0x4
str_00000FF4 = .rodata:0x00000FF4; // type:object size:0xC scope:local data:string
str_00001000 = .rodata:0x00001000; // type:object size:0x4 scope:local data:string
str_00001004 = .rodata:0x00001004; // type:object size:0x4 scope:local data:string
str_00001008 = .rodata:0x00001008; // type:object size:0x18 scope:local data:string
str_00001020 = .rodata:0x00001020; // type:object size:0x18 scope:local data:string
str_00001038 = .rodata:0x00001038; // type:object size:0x4 scope:local data:string
str_0000103C = .rodata:0x0000103C; // type:object size:0x4 scope:local data:string
str_00001040 = .rodata:0x00001040; // type:object size:0x4 scope:local data:string
str_00001044 = .rodata:0x00001044; // type:object size:0x4 scope:local data:string
str_00001048 = .rodata:0x00001048; // type:object size:0x18 scope:local data:string
str_00001060 = .rodata:0x00001060; // type:object size:0x18 scope:local data:string
str_00001078 = .rodata:0x00001078; // type:object size:0x18 scope:local data:string
str_00001090 = .rodata:0x00001090; // type:object size:0x18 scope:local data:string
str_000010A8 = .rodata:0x000010A8; // type:object size:0x18 scope:local data:string
str_000010C0 = .rodata:0x000010C0; // type:object size:0x4 scope:local data:string
str_000010C4 = .rodata:0x000010C4; // type:object size:0x4 scope:local data:string
str_000010C8 = .rodata:0x000010C8; // type:object size:0x4 scope:local data:string
str_000010CC = .rodata:0x000010CC; // type:object size:0x18 scope:local data:string
str_000010E4 = .rodata:0x000010E4; // type:object size:0x18 scope:local data:string
VecData$835 = .rodata:0x000010FC; // type:object size:0x78 scope:local align:4 data:float
double_to_int_moo_00004268 = .rodata:0x00001178; // type:object size:0x8 align:8 data:double
str_00001180 = .rodata:0x00001180; // type:object size:0x20 scope:local data:string
float_1_moo_00004290 = .rodata:0x000011A0; // type:object size:0x4 align:4 data:float
str_000011A4 = .rodata:0x000011A4; // type:object size:0x18 scope:local data:string
zero_moo_000042ac = .rodata:0x000011BC; // type:object size:0x4 align:4 data:float
float_neg1000_moo_000042b0 = .rodata:0x000011C0; // type:object size:0x4 align:4 data:float
float_32_moo_000042b4 = .rodata:0x000011C4; // type:object size:0x4 align:4 data:float
float_10_moo_000042b8 = .rodata:0x000011C8; // type:object size:0x4 align:4 data:float
float_1p8_moo_000042bc = .rodata:0x000011CC; // type:object size:0x4 align:4 data:float
float_0p75_moo_000042c0 = .rodata:0x000011D0; // type:object size:0x4 align:4 data:float
float_0p5_moo_000042c4 = .rodata:0x000011D4; // type:object size:0x4 align:4 data:float
float_neg0p5_moo_000042c8 = .rodata:0x000011D8; // type:object size:0x4 align:4 data:float
str_000011DC = .rodata:0x000011DC; // type:object size:0x4 scope:local data:string
double_to_int_mask_moo_000042d0 = .rodata:0x000011E0; // type:object size:0x8 align:8 data:double
str_000011E8 = .rodata:0x000011E8; // type:object size:0x18 scope:local data:string
str_00001200 = .rodata:0x00001200; // type:object size:0x18 scope:local data:string
str_00001218 = .rodata:0x00001218; // type:object size:0x18 scope:local data:string
str_00001230 = .rodata:0x00001230; // type:object size:0x14 scope:local data:string
str_00001244 = .rodata:0x00001244; // type:object size:0x1C scope:local data:string
str_00001260 = .rodata:0x00001260; // type:object size:0xC scope:local data:string
str_0000126C = .rodata:0x0000126C; // type:object size:0x8 scope:local data:string
str_00001274 = .rodata:0x00001274; // type:object size:0x8 scope:local data:string
str_0000127C = .rodata:0x0000127C; // type:object size:0x8 scope:local data:string
str_00001284 = .rodata:0x00001284; // type:object size:0x8 scope:local data:string
str_0000128C = .rodata:0x0000128C; // type:object size:0x8 scope:local data:string
str_00001294 = .rodata:0x00001294; // type:object size:0x8 scope:local data:string
str_0000129C = .rodata:0x0000129C; // type:object size:0xC scope:local data:string
str_000012A8 = .rodata:0x000012A8; // type:object size:0x8 scope:local data:string
str_000012B0 = .rodata:0x000012B0; // type:object size:0x8 scope:local data:string
str_000012B8 = .rodata:0x000012B8; // type:object size:0x8 scope:local data:string
str_000012C0 = .rodata:0x000012C0; // type:object size:0x8 scope:local data:string
str_000012C8 = .rodata:0x000012C8; // type:object size:0x8 scope:local data:string
str_000012D0 = .rodata:0x000012D0; // type:object size:0x8 scope:local data:string
str_000012D8 = .rodata:0x000012D8; // type:object size:0x8 scope:local data:string
str_000012E0 = .rodata:0x000012E0; // type:object size:0x8 scope:local data:string
str_000012E8 = .rodata:0x000012E8; // type:object size:0x14 scope:local data:string
str_000012FC = .rodata:0x000012FC; // type:object size:0x14 scope:local data:string
str_00001310 = .rodata:0x00001310; // type:object size:0x14 scope:local data:string
str_00001324 = .rodata:0x00001324; // type:object size:0x18 scope:local data:string
zero_moo_0000442c = .rodata:0x0000133C; // type:object size:0x4
str_00001340 = .rodata:0x00001340; // type:object size:0xC scope:local data:string
str_0000134C = .rodata:0x0000134C; // type:object size:0x10 scope:local data:string
str_0000135C = .rodata:0x0000135C; // type:object size:0x10 scope:local data:string
str_0000136C = .rodata:0x0000136C; // type:object size:0x10 scope:local data:string
str_0000137C = .rodata:0x0000137C; // type:object size:0xC scope:local data:string
str_00001388 = .rodata:0x00001388; // type:object size:0x14 scope:local data:string
str_0000139C = .rodata:0x0000139C; // type:object size:0x13 scope:local data:string
negone_one$374 = .data:0x00000000; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00000008; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x0000000C; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00000010; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00000018; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00000020; // type:object size:0x4 scope:local data:float
one$381 = .data:0x00000024; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00000028; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00000030; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x00000034; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00000038; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00000040; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00000048; // type:object size:0x4 scope:local data:float
one$364 = .data:0x0000004C; // type:object size:0x4 scope:local data:float
_three$localstatic4$sqrtf = .data:0x00000050; // type:object size:0x8 scope:local data:double
_half$localstatic3$sqrtf = .data:0x00000058; // type:object size:0x8 scope:local data:double
bero_entry_data = .data:0x00000060; // type:object size:0xB4 scope:local
spline_dt = .data:0x00000114; // type:object size:0x24 scope:local
party_damage_pose = .data:0x00000138; // type:object size:0xD0 scope:local data:4byte
party_damage_pose2 = .data:0x00000208; // type:object size:0xD0 data:4byte
evt_first = .data:0x000002D8; // type:object size:0x834 scope:local data:4byte
rock_main = .data:0x00000B0C; // type:object size:0x13C scope:local data:4byte
rock_evt0 = .data:0x00000C48; // type:object size:0x54 scope:local data:4byte
rock_evt1 = .data:0x00000C9C; // type:object size:0x54 scope:local data:4byte
moo_00_init_evt = .data:0x00000CF0; // type:object size:0x214 data:4byte
negone_one$374 = .data:0x00000F08; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00000F10; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x00000F14; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00000F18; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00000F20; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00000F28; // type:object size:0x4 scope:local data:float
one$381 = .data:0x00000F2C; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00000F30; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00000F38; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x00000F3C; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00000F40; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00000F48; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00000F50; // type:object size:0x4 scope:local data:float
one$364 = .data:0x00000F54; // type:object size:0x4 scope:local data:float
bero_entry_data = .data:0x00000F58; // type:object size:0xB4 scope:local
rock_main = .data:0x0000100C; // type:object size:0x13C scope:local data:4byte
rock_evt0 = .data:0x00001148; // type:object size:0x54 scope:local data:4byte
rock_evt1 = .data:0x0000119C; // type:object size:0x54 scope:local data:4byte
moo_01_init_evt = .data:0x000011F0; // type:object size:0x174 data:4byte
negone_one$374 = .data:0x00001368; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00001370; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x00001374; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00001378; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00001380; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00001388; // type:object size:0x4 scope:local data:float
one$381 = .data:0x0000138C; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00001390; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00001398; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x0000139C; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x000013A0; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x000013A8; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x000013B0; // type:object size:0x4 scope:local data:float
one$364 = .data:0x000013B4; // type:object size:0x4 scope:local data:float
n_bero_in = .data:0x000013B8; // type:object size:0x64 data:4byte
n_bero_out = .data:0x0000141C; // type:object size:0x30 data:4byte
bero_entry_data = .data:0x0000144C; // type:object size:0x168 scope:local
dokan_evt = .data:0x000015B4; // type:object size:0x198 scope:local data:4byte
rock_main = .data:0x0000174C; // type:object size:0x13C scope:local data:4byte
rock_evt0 = .data:0x00001888; // type:object size:0x54 scope:local data:4byte
rock_evt1 = .data:0x000018DC; // type:object size:0x54 scope:local data:4byte
moo_02_init_evt = .data:0x00001930; // type:object size:0x210 data:4byte
negone_one$374 = .data:0x00001B40; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00001B48; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x00001B4C; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00001B50; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00001B58; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00001B60; // type:object size:0x4 scope:local data:float
one$381 = .data:0x00001B64; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00001B68; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00001B70; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x00001B74; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00001B78; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00001B80; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00001B88; // type:object size:0x4 scope:local data:float
one$364 = .data:0x00001B8C; // type:object size:0x4 scope:local data:float
party_damage_pose = .data:0x00001B90; // type:object size:0xD0 scope:local data:4byte
mario_fly = .data:0x00001C60; // type:object size:0x32C scope:local data:4byte
moo_03_init_evt = .data:0x00001F8C; // type:object size:0x8C data:4byte
negone_one$374 = .data:0x00002018; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00002020; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x00002024; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00002028; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00002030; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00002038; // type:object size:0x4 scope:local data:float
one$381 = .data:0x0000203C; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00002040; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00002048; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x0000204C; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00002050; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00002058; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00002060; // type:object size:0x4 scope:local data:float
one$364 = .data:0x00002064; // type:object size:0x4 scope:local data:float
spline_dt = .data:0x00002068; // type:object size:0x24 scope:local
party_damage_pose = .data:0x0000208C; // type:object size:0xD0 scope:local data:4byte
mario_fly = .data:0x0000215C; // type:object size:0x2A0 scope:local data:4byte
kanbu_fly = .data:0x000023FC; // type:object size:0x318 data:4byte
npcEnt = .data:0x00002714; // type:object size:0xB8 scope:local
epilogue_evt = .data:0x000027CC; // type:object size:0x100 scope:local data:4byte
moo_04_init_evt = .data:0x000028CC; // type:object size:0x370 data:4byte
negone_one$374 = .data:0x00002C40; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00002C48; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x00002C4C; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00002C50; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00002C58; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00002C60; // type:object size:0x4 scope:local data:float
one$381 = .data:0x00002C64; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00002C68; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00002C70; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x00002C74; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00002C78; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00002C80; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00002C88; // type:object size:0x4 scope:local data:float
one$364 = .data:0x00002C8C; // type:object size:0x4 scope:local data:float
negone_one$374 = .data:0x00002C90; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00002C98; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x00002C9C; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00002CA0; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00002CA8; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00002CB0; // type:object size:0x4 scope:local data:float
one$381 = .data:0x00002CB4; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00002CB8; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00002CC0; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x00002CC4; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00002CC8; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00002CD0; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00002CD8; // type:object size:0x4 scope:local data:float
one$364 = .data:0x00002CDC; // type:object size:0x4 scope:local data:float
moo_btlobject_data = .data:0x00002CE0; // type:object size:0x78
moo_btlstage_data = .data:0x00002D58; // type:object size:0x1B4
btlparty_moo_moo_00_01_off_1 = .data:0x00002F0C; // type:object size:0x90
btlgrp_moo_moo_00_01_off_1 = .data:0x00002F9C; // type:object size:0x20
btlparty_moo_moo_01_01_off_1 = .data:0x00002FBC; // type:object size:0x60
btlgrp_moo_moo_01_01_off_1 = .data:0x0000301C; // type:object size:0x20
btlparty_moo_moo_01_02_off_1 = .data:0x0000303C; // type:object size:0x60
btlgrp_moo_moo_01_02_off_1 = .data:0x0000309C; // type:object size:0x20
btlparty_moo_moo_01_02_off_2 = .data:0x000030BC; // type:object size:0x90
btlgrp_moo_moo_01_02_off_2 = .data:0x0000314C; // type:object size:0x20
btlparty_moo_moo_01_03_off_1 = .data:0x0000316C; // type:object size:0x90
btlgrp_moo_moo_01_03_off_1 = .data:0x000031FC; // type:object size:0x20
btlparty_moo_moo_01_04_off_1 = .data:0x0000321C; // type:object size:0x60
btlgrp_moo_moo_01_04_off_1 = .data:0x0000327C; // type:object size:0x20
btlparty_moo_moo_01_04_off_2 = .data:0x0000329C; // type:object size:0x90
btlgrp_moo_moo_01_04_off_2 = .data:0x0000332C; // type:object size:0x20
btlparty_moo_moo_01_04_off_3 = .data:0x0000334C; // type:object size:0xC0
btlgrp_moo_moo_01_04_off_3 = .data:0x0000340C; // type:object size:0x20
btlparty_moo_moo_01_05_off_1 = .data:0x0000342C; // type:object size:0xC0
btlgrp_moo_moo_01_05_off_1 = .data:0x000034EC; // type:object size:0x20
btlparty_moo_moo_02_01_off_1 = .data:0x0000350C; // type:object size:0x60
btlgrp_moo_moo_02_01_off_1 = .data:0x0000356C; // type:object size:0x20
btlparty_moo_moo_02_02_off_1 = .data:0x0000358C; // type:object size:0x60
btlgrp_moo_moo_02_02_off_1 = .data:0x000035EC; // type:object size:0x20
btlparty_moo_moo_02_03_off_1 = .data:0x0000360C; // type:object size:0x60
btlgrp_moo_moo_02_03_off_1 = .data:0x0000366C; // type:object size:0x20
btlparty_moo_moo_02_04_off_1 = .data:0x0000368C; // type:object size:0x90
btlgrp_moo_moo_02_04_off_1 = .data:0x0000371C; // type:object size:0x20
btlparty_moo_moo_02_05_off_1 = .data:0x0000373C; // type:object size:0x60
btlgrp_moo_moo_02_05_off_1 = .data:0x0000379C; // type:object size:0x20
btlparty_moo_moo_05_01_off_1 = .data:0x000037BC; // type:object size:0x60
btlgrp_moo_moo_05_01_off_1 = .data:0x0000381C; // type:object size:0x20
btlparty_moo_moo_05_01_off_2 = .data:0x0000383C; // type:object size:0x90
btlgrp_moo_moo_05_01_off_2 = .data:0x000038CC; // type:object size:0x20
btlparty_moo_moo_05_01_off_3 = .data:0x000038EC; // type:object size:0xC0
btlgrp_moo_moo_05_01_off_3 = .data:0x000039AC; // type:object size:0x20
btlparty_moo_moo_05_02_off_1 = .data:0x000039CC; // type:object size:0x60
btlgrp_moo_moo_05_02_off_1 = .data:0x00003A2C; // type:object size:0x20
btlparty_moo_moo_05_03_off_1 = .data:0x00003A4C; // type:object size:0x60
btlgrp_moo_moo_05_03_off_1 = .data:0x00003AAC; // type:object size:0x20
btlparty_moo_moo_05_03_off_2 = .data:0x00003ACC; // type:object size:0x90
btlgrp_moo_moo_05_03_off_2 = .data:0x00003B5C; // type:object size:0x20
btlparty_moo_moo_05_04_off_1 = .data:0x00003B7C; // type:object size:0x90
btlgrp_moo_moo_05_04_off_1 = .data:0x00003C0C; // type:object size:0x20
btlparty_moo_moo_05_05_off_1 = .data:0x00003C2C; // type:object size:0x60
btlgrp_moo_moo_05_05_off_1 = .data:0x00003C8C; // type:object size:0x20
btlparty_moo_moo_05_05_off_2 = .data:0x00003CAC; // type:object size:0x90
btlgrp_moo_moo_05_05_off_2 = .data:0x00003D3C; // type:object size:0x20
btlparty_moo_moo_05_05_off_3 = .data:0x00003D5C; // type:object size:0xC0
btlgrp_moo_moo_05_05_off_3 = .data:0x00003E1C; // type:object size:0x20
btlgrpsel_moo_btlno_moo_test1_off = .data:0x00003E3C; // type:object size:0x18
btlgrpsel_moo_btlno_moo_01_01_off = .data:0x00003E54; // type:object size:0x18
btlgrpsel_moo_btlno_moo_01_02_off = .data:0x00003E6C; // type:object size:0x24
btlgrpsel_moo_btlno_moo_01_03_off = .data:0x00003E90; // type:object size:0x18
btlgrpsel_moo_btlno_moo_01_04_off = .data:0x00003EA8; // type:object size:0x30
btlgrpsel_moo_btlno_moo_01_05_off = .data:0x00003ED8; // type:object size:0x18
btlgrpsel_moo_btlno_moo_02_01_off = .data:0x00003EF0; // type:object size:0x18
btlgrpsel_moo_btlno_moo_02_02_off = .data:0x00003F08; // type:object size:0x18
btlgrpsel_moo_btlno_moo_02_03_off = .data:0x00003F20; // type:object size:0x18
btlgrpsel_moo_btlno_moo_02_04_off = .data:0x00003F38; // type:object size:0x18
btlgrpsel_moo_btlno_moo_02_05_off = .data:0x00003F50; // type:object size:0x18
btlgrpsel_moo_btlno_moo_05_01_off = .data:0x00003F68; // type:object size:0x30
btlgrpsel_moo_btlno_moo_05_02_off = .data:0x00003F98; // type:object size:0x18
btlgrpsel_moo_btlno_moo_05_03_off = .data:0x00003FB0; // type:object size:0x24
btlgrpsel_moo_btlno_moo_05_04_off = .data:0x00003FD4; // type:object size:0x18
btlgrpsel_moo_btlno_moo_05_05_off = .data:0x00003FEC; // type:object size:0x30
btlsetup_moo_tbl = .data:0x0000401C; // type:object size:0x484
btl_moo_setup_no_tbl = .data:0x000044A0; // type:object size:0x88
bgset_moo_space_event = .data:0x00004528; // type:object size:0x8C data:4byte
negone_one$374 = .data:0x000045B8; // type:object size:0x8 scope:local
neg_one$382 = .data:0x000045C0; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x000045C4; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x000045C8; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x000045D0; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x000045D8; // type:object size:0x4 scope:local data:float
one$381 = .data:0x000045DC; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x000045E0; // type:object size:0x8 scope:local
neg_one$365 = .data:0x000045E8; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x000045EC; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x000045F0; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x000045F8; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00004600; // type:object size:0x4 scope:local data:float
one$364 = .data:0x00004604; // type:object size:0x4 scope:local data:float
unit_kuriboo = .data:0x00004608; // type:object size:0xC4 scope:local
pose_table = .data:0x000046CC; // type:object size:0xA0 scope:local
data_table = .data:0x0000476C; // type:object size:0x10 scope:local
defence = .data:0x0000477C; // type:object size:0x8 scope:local
defence_attr = .data:0x00004784; // type:object size:0x8 scope:local
regist = .data:0x0000478C; // type:object size:0x18 scope:local
parts = .data:0x000047A4; // type:object size:0x4C scope:local
weapon_kuriboo_attack = .data:0x000047F0; // type:object size:0xC0 scope:local
init_event = .data:0x000048B0; // type:object size:0xA8 scope:local data:4byte
damage_event = .data:0x00004958; // type:object size:0x28 scope:local data:4byte
phase_event = .data:0x00004980; // type:object size:0x8 scope:local data:4byte
attack_event = .data:0x00004988; // type:object size:0x7B0 scope:local data:4byte
wait_event = .data:0x00005138; // type:object size:0x18 scope:local data:4byte
negone_one$374 = .data:0x00005150; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00005158; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x0000515C; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00005160; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00005168; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00005170; // type:object size:0x4 scope:local data:float
one$381 = .data:0x00005174; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00005178; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00005180; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x00005184; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00005188; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00005190; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00005198; // type:object size:0x4 scope:local data:float
one$364 = .data:0x0000519C; // type:object size:0x4 scope:local data:float
bero_entry_data = .data:0x000051A0; // type:object size:0xB4 scope:local
rock_main = .data:0x00005254; // type:object size:0x13C scope:local data:4byte
rock_evt0 = .data:0x00005390; // type:object size:0x54 scope:local data:4byte
moo_05_init_evt = .data:0x000053E4; // type:object size:0xEC data:4byte
negone_one$374 = .data:0x000054D0; // type:object size:0x8 scope:local
neg_one$382 = .data:0x000054D8; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x000054DC; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x000054E0; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x000054E8; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x000054F0; // type:object size:0x4 scope:local data:float
one$381 = .data:0x000054F4; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x000054F8; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00005500; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x00005504; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00005508; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00005510; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00005518; // type:object size:0x4 scope:local data:float
one$364 = .data:0x0000551C; // type:object size:0x4 scope:local data:float
bero_entry_data = .data:0x00005520; // type:object size:0xB4 scope:local
rock_main = .data:0x000055D4; // type:object size:0x13C scope:local data:4byte
rock_evt0 = .data:0x00005710; // type:object size:0x54 scope:local data:4byte
rock_evt1 = .data:0x00005764; // type:object size:0x54 scope:local data:4byte
moo_06_init_evt = .data:0x000057B8; // type:object size:0x174 data:4byte
negone_one$374 = .data:0x00005930; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00005938; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x0000593C; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00005940; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00005948; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00005950; // type:object size:0x4 scope:local data:float
one$381 = .data:0x00005954; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00005958; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00005960; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x00005964; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00005968; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00005970; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00005978; // type:object size:0x4 scope:local data:float
one$364 = .data:0x0000597C; // type:object size:0x4 scope:local data:float
bero_entry_data = .data:0x00005980; // type:object size:0xB4 scope:local
rock_main = .data:0x00005A34; // type:object size:0x13C scope:local data:4byte
rock_evt0 = .data:0x00005B70; // type:object size:0x54 scope:local data:4byte
moo_07_init_evt = .data:0x00005BC4; // type:object size:0x114 data:4byte
negone_one$374 = .data:0x00005CD8; // type:object size:0x8 scope:local
neg_one$382 = .data:0x00005CE0; // type:object size:0x4 scope:local data:float
__local_PI$383 = .data:0x00005CE4; // type:object size:0x4 scope:local data:float
__local_3PIO2$385 = .data:0x00005CE8; // type:object size:0x4 scope:local data:float
one_negone$373 = .data:0x00005CF0; // type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x00005CF8; // type:object size:0x4 scope:local data:float
one$381 = .data:0x00005CFC; // type:object size:0x4 scope:local data:float
negone_one$360 = .data:0x00005D00; // type:object size:0x8 scope:local
neg_one$365 = .data:0x00005D08; // type:object size:0x4 scope:local data:float
__local_PI$366 = .data:0x00005D0C; // type:object size:0x4 scope:local data:float
__local_3PIO2$368 = .data:0x00005D10; // type:object size:0x4 scope:local data:float
one_negone$359 = .data:0x00005D18; // type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x00005D20; // type:object size:0x4 scope:local data:float
one$364 = .data:0x00005D24; // type:object size:0x4 scope:local data:float
unit_sinemon = .data:0x00005D28; // type:object size:0xC4 scope:local
defence = .data:0x00005DEC; // type:object size:0x8 scope:local
defence_attr = .data:0x00005DF4; // type:object size:0x8 scope:local
defence_turn = .data:0x00005DFC; // type:object size:0x8 scope:local
regist = .data:0x00005E04; // type:object size:0x18 scope:local
parts = .data:0x00005E1C; // type:object size:0x4C scope:local
weapon_sinemon_attack = .data:0x00005E68; // type:object size:0xC0 scope:local
pose_table = .data:0x00005F28; // type:object size:0x90 scope:local
